species,latitude,longitude,country,date,elevation,NDVI,temperature_C
Gallotia,28.375897,-16.808257,Spain,2025-01-26T12:56:18Z,17.0,3931.0,23.6
Gallotia,27.769615,-15.473208,Spain,2025-01-26T11:45:21Z,,,
Gallotia,28.372481,-16.769689,Spain,2025-01-07T14:37:05Z,12.0,1875.0,19.7
Gallotia,28.651931,-17.773367,Spain,2025-01-02T11:20Z,237.0,5789.0,22.6
Gallotia,28.651633,-17.774094,Spain,2025-01-10T09:59Z,257.0,5785.0,22.6
Gallotia,28.548929,-16.264989,Spain,2025-01-26T13:05:07Z,676.0,7755.0,19.2
Gallotia,28.554094,-16.263978,Spain,2025-01-26T13:54:58Z,639.0,7636.0,19.2
Gallotia,28.554053,-16.263964,Spain,2025-01-26T14:37:09Z,639.0,7636.0,19.2
Gallotia,28.201968,-17.253808,Spain,2025-01-27T11:46Z,21.0,2535.0,
Gallotia,28.301237,-16.371858,Spain,2025-01-23T13:38Z,28.0,3256.0,22.1
Gallotia,28.039278,-16.697832,Spain,2025-01-25T20:28Z,166.0,1801.0,24.3
Gallotia,28.55376,-16.265792,Spain,2025-01-26T13:03Z,637.0,7685.0,19.2
Gallotia,28.651764,-17.773917,Spain,2025-01-02T11:38Z,257.0,5785.0,22.6
Gallotia,28.526419,-16.280645,Spain,2025-01-25T11:13Z,837.0,6928.0,19.2
Gallotia,28.451762,-16.256516,Spain,2025-01-25T16:57Z,34.0,,21.8
Gallotia,28.312815,-16.370957,Spain,2025-01-26T12:59Z,107.0,2823.0,22.6
Gallotia,28.417843,-16.552691,Spain,2025-01-27T10:51Z,8.0,1254.0,
Gallotia,27.723272,-15.549529,Spain,2025-01-25T11:44:52Z,,,24.2
Gallotia,28.304575,-16.566422,Spain,2025-01-24T12:47Z,2060.0,1695.0,12.0
Gallotia,28.381058,-16.571424,Spain,2025-01-25T12:55Z,389.0,3464.0,21.8
Gallotia,28.299212,-16.372669,Spain,2025-01-23T16:32Z,16.0,,22.1
Gallotia,28.390834,-16.626749,Spain,2025-01-28T12:13:38Z,182.0,5976.0,21.7
Gallotia,28.365328,-16.887119,Spain,2025-01-26T15:32Z,28.0,,21.4
Gallotia,28.750956,-17.890975,Spain,2025-01-14T18:53Z,2322.0,4452.0,13.3
Gallotia,28.603022,-17.802945,Spain,2025-01-14T18:34Z,1039.0,8721.0,17.0
Gallotia,28.756086,-17.86732,Spain,2025-01-14T17:54Z,1877.0,2730.0,13.3
Gallotia,28.605373,-17.829328,Spain,2025-01-14T17:34Z,1467.0,8506.0,17.0
Gallotia,28.553198,-16.265135,Spain,2025-01-26T13:54:58Z,657.0,7685.0,19.2
Gallotia,28.568102,-16.308584,Spain,2025-01-26T10:50Z,72.0,6211.0,21.1
Gallotia,28.387595,-16.628565,Spain,2025-01-29T10:30Z,399.0,5969.0,21.7
Gallotia,28.416657,-16.529705,Spain,2025-01-11T10:49Z,69.0,5406.0,22.8
Gallotia,28.415804,-16.525001,Spain,2025-01-12T10:27Z,54.0,6085.0,22.8
Gallotia,28.342645,-16.856588,Spain,2025-01-26T09:51:21Z,624.0,6248.0,21.3
Gallotia,28.417056,-16.522627,Spain,2025-01-14T12:35Z,39.0,6085.0,22.8
Gallotia,28.416442,-16.531801,Spain,2025-01-16T14:41Z,79.0,2979.0,22.8
Gallotia,29.00285,-13.547044,Spain,2025-01-27T12:51:45Z,110.0,1212.0,22.2
Gallotia,28.9889,-13.817544,Spain,2025-01-28T13:04:07Z,86.0,944.0,22.4
Gallotia,29.039464,-13.734714,Spain,2025-01-31T14:39:04Z,284.0,1295.0,21.2
Gallotia,28.410562,-16.547919,Spain,2025-01-18T11:10Z,97.0,3952.0,21.8
Gallotia,28.414478,-16.532139,Spain,2025-01-25T11:58Z,93.0,3455.0,22.8
Gallotia,28.412767,-16.559116,Spain,2025-01-26T16:12Z,11.0,2561.0,
Gallotia,28.679306,-17.914372,Spain,2025-01-14T16:46Z,381.0,5163.0,20.5
Gallotia,28.615623,-17.941636,Spain,2025-01-14T16:45Z,,,24.1
Gallotia,28.415914,-16.528665,Spain,2025-01-27T11:53Z,80.0,5406.0,22.8
Gallotia,28.613223,-17.675128,Spain,2025-01-11T13:00Z,,,
Gallotia,28.410708,-16.548249,Spain,2025-01-31T14:45Z,98.0,3952.0,21.8
Gallotia,28.413911,-16.55853,Spain,2025-01-31T17:48Z,13.0,,
Gallotia,28.304497,-16.568782,Spain,2025-01-25T16:50Z,2061.0,1695.0,12.0
Gallotia,28.330404,-16.857133,Spain,2025-01-27T14:39Z,820.0,6994.0,20.1
Gallotia,27.629022,-15.584448,Spain,2025-01-28T12:47Z,,,
Gallotia,28.285227,-16.766104,Spain,2025-01-28T13:51Z,1448.0,6324.0,15.9
Gallotia,28.558624,-16.264923,Spain,2025-01-01,615.0,7211.0,20.1
Gallotia,28.04832,-16.578383,Spain,2025-01-02,69.0,921.0,24.5
Gallotia,28.037507,-16.548328,Spain,2025-01-02,9.0,1358.0,24.5
Gallotia,28.474967,-17.851853,Spain,2025-01-03,382.0,,22.8
Gallotia,28.472105,-16.446982,Spain,2025-01-03,103.0,4180.0,20.7
Gallotia,28.472103,-16.44693,Spain,2025-01-03,182.0,4180.0,20.7
Gallotia,28.472106,-16.44697,Spain,2025-01-03,182.0,4180.0,20.7
Gallotia,28.415778,-16.528635,Spain,2025-01-04,80.0,5406.0,22.8
Gallotia,28.026373,-16.703417,Spain,2025-01-04,0.0,882.0,24.3
Gallotia,28.026389,-16.703437,Spain,2025-01-04,0.0,882.0,24.3
Gallotia,28.027224,-16.704268,Spain,2025-01-04,3.0,1238.0,24.3
Gallotia,28.02807,-16.704408,Spain,2025-01-04,0.0,1238.0,24.3
Gallotia,28.028208,-16.704492,Spain,2025-01-04,0.0,1238.0,24.3
Gallotia,28.029187,-16.704388,Spain,2025-01-04,-1.0,,24.3
Gallotia,28.030246,-16.704162,Spain,2025-01-04,55.0,,24.3
Gallotia,28.031361,-16.705572,Spain,2025-01-04,89.0,,24.3
Gallotia,28.029735,-16.704738,Spain,2025-01-04,12.0,,24.3
Gallotia,28.376698,-16.626165,Spain,2025-01-05,628.0,7388.0,21.7
Gallotia,28.031667,-16.544444,Spain,2025-01-06,36.0,,24.5
Gallotia,28.401362,-16.580686,Spain,2025-01-06,109.0,4257.0,20.9
Gallotia,28.401357,-16.580687,Spain,2025-01-06,109.0,4257.0,20.9
Gallotia,28.411315,-16.547683,Spain,2025-01-06,94.0,3482.0,21.8
Gallotia,28.826742,-17.950862,Spain,2025-01-08,324.0,6348.0,22.2
Gallotia,27.737055,-15.602585,Spain,2025-01-08,1.0,,24.1
Gallotia,28.372225,-16.76545,Spain,2025-01-08,10.0,1739.0,19.7
Gallotia,27.744008,-15.596758,Spain,2025-01-08,9.0,3060.0,24.1
Gallotia,28.316278,-16.367472,Spain,2025-01-09,74.0,3173.0,22.6
Gallotia,28.57009,-16.320443,Spain,2025-01-09,79.0,4306.0,21.1
Gallotia,28.395737,-16.651645,Spain,2025-01-09,17.0,716.0,22.3
Gallotia,28.458156,-16.463907,Spain,2025-01-09,72.0,2055.0,20.7
Gallotia,27.930954,-15.75012,Spain,2025-01-09,646.0,2215.0,17.7
Gallotia,28.305097,-16.56557,Spain,2025-01-09,2052.0,1695.0,12.0
Gallotia,28.305287,-16.565505,Spain,2025-01-09,2052.0,1740.0,12.0
Gallotia,28.305392,-16.567023,Spain,2025-01-09,2062.0,2028.0,12.0
Gallotia,28.567962,-16.320443,Spain,2025-01-11,101.0,4675.0,21.1
Gallotia,28.568626,-16.32081,Spain,2025-01-11,88.0,4306.0,21.1
Gallotia,28.568626,-16.32081,Spain,2025-01-11,88.0,4306.0,21.1
Gallotia,28.568626,-16.32081,Spain,2025-01-11,88.0,4306.0,21.1
Gallotia,28.409583,-16.538575,Spain,2025-01-11,100.0,4019.0,21.1
Gallotia,27.813332,-15.582101,Spain,2025-01-11,421.0,2513.0,22.3
Gallotia,27.885296,-15.534465,Spain,2025-01-11,394.0,4880.0,19.4
Gallotia,28.256342,-16.623907,Spain,2025-01-12,2327.0,2075.0,11.1
Gallotia,28.823059,-17.893583,Spain,2025-01-12,759.0,8288.0,18.8
Gallotia,28.400187,-16.673183,Spain,2025-01-12,28.0,,22.3
Gallotia,28.400187,-16.673183,Spain,2025-01-12,28.0,,22.3
Gallotia,27.958752,-15.41724,Spain,2025-01-12,271.0,2853.0,23.3
Gallotia,27.958631,-15.417321,Spain,2025-01-12,271.0,2853.0,23.3
Gallotia,28.314562,-16.59591,Spain,2025-01-12,2089.0,2342.0,11.7
Gallotia,28.043966,-16.70905,Spain,2025-01-12,9.0,,24.3
Gallotia,27.966452,-15.584447,Spain,2025-01-13,1669.0,7264.0,14.7
Gallotia,28.461428,-17.845406,Spain,2025-01-12,129.0,,22.8
Gallotia,28.160582,-16.633831,Spain,2025-01-15,1381.0,2586.0,12.1
Gallotia,28.553809,-16.34825,Spain,2025-01-15,27.0,3452.0,20.7
Gallotia,28.304865,-16.373963,Spain,2025-01-15,54.0,4327.0,22.6
Gallotia,27.737106,-15.602765,Spain,2025-01-15,1.0,,24.1
Gallotia,28.595278,-17.888658,Spain,2025-01-16,484.0,3721.0,22.1
Gallotia,28.418016,-16.551527,Spain,2025-01-16,8.0,1254.0,
Gallotia,28.452719,-16.258293,Spain,2025-01-16,32.0,,21.8
Gallotia,28.805028,-17.761295,Spain,2025-01-16,25.0,6454.0,22.7
Gallotia,28.391244,-16.626667,Spain,2025-01-16,182.0,5976.0,21.7
Gallotia,28.253095,-16.624433,Spain,2025-01-15,2284.0,2071.0,11.1
Gallotia,28.061086,-16.716536,Spain,2025-01-18,34.0,4867.0,23.3
Gallotia,28.395602,-16.589739,Spain,2025-01-18,109.0,,20.9
Gallotia,27.809104,-15.743993,Spain,2025-01-18,74.0,1477.0,23.1
Gallotia,27.7616,-15.562333,Spain,2025-01-18,15.0,,24.2
Gallotia,28.061092,-16.716453,Spain,2025-01-18,34.0,4867.0,23.3
Gallotia,28.061025,-16.717203,Spain,2025-01-19,33.0,4867.0,23.3
Gallotia,28.061539,-16.71594,Spain,2025-01-19,35.0,4867.0,23.3
Gallotia,28.396962,-16.591208,Spain,2025-01-20,85.0,,20.9
Gallotia,28.068799,-14.505455,Spain,2025-01-20,13.0,2447.0,23.1
Gallotia,27.765431,-15.551362,Spain,2025-01-20,3.0,4489.0,23.7
Gallotia,27.736202,-15.600935,Spain,2025-01-20,3.0,,24.1
Gallotia,28.060971,-16.716385,Spain,2025-01-22,34.0,4867.0,23.3
Gallotia,28.697242,-13.918938,Spain,2025-01-23,205.0,1142.0,22.9
Gallotia,28.697287,-13.91893,Spain,2025-01-23,205.0,1215.0,22.9
Gallotia,27.737075,-15.602628,Spain,2025-01-23,1.0,,24.1
Gallotia,28.98078,-13.645457,Spain,2025-01-24,369.0,1297.0,21.6
Gallotia,28.978272,-13.640883,Spain,2025-01-24,538.0,1309.0,21.6
Gallotia,28.302567,-16.573477,Spain,2025-01-24,2077.0,1654.0,11.0
